"","gene1","gene2"
"1","Snap47-3","Snap47-3"
"2","Gtf3c2-7","Snap47-3"
"3","Pcdh9-10","Snap47-3"
"4","Hepacam-35","Snap47-3"
"5","Agt-87","Snap47-3"
"6","Mllt11-89","Snap47-3"
"7","Aqp4-108","Snap47-3"
"8","Cnr1-283","Snap47-3"
"9","Lynx1-655","Snap47-3"
"10","Ncdn-684","Snap47-3"
"11","Rad23b-881","Snap47-3"
"12","Tnni3-1065","Snap47-3"
"13","Cnp-1175","Snap47-3"
"14","Crabp1-1179","Snap47-3"
"15","Icosl-1217","Snap47-3"
"16","Mgp-1229","Snap47-3"
"17","Trhr-1303","Snap47-3"
"18","Cdh3-1337","Snap47-3"
"19","Copb2-1341","Snap47-3"
"20","Aktip-1355","Snap47-3"
"21","Krtap12-1-1367","Snap47-3"
"22","Pknox1-1401","Snap47-3"
"23","Rwdd2b-1587","Snap47-3"
"24","Wnt2b-1589","Snap47-3"
"25","Nr4a1-1792","Snap47-3"
"26","Slc27a4-1920","Snap47-3"
"27","Adcy7-2017","Snap47-3"
"28","Gabrb1-2247","Snap47-3"
"29","Gnai2-2263","Snap47-3"
"30","Hmga1-2295","Snap47-3"
"31","Mapre1-2401","Snap47-3"
"32","Ltn1-2747","Snap47-3"
"33","Ptrf-73521818","Snap47-3"
"34","Nvl-5","Nvl-5"
"35","Snap47-3","Gtf3c2-7"
"36","Gtf3c2-7","Gtf3c2-7"
"37","Pcdh9-10","Gtf3c2-7"
"38","Hepacam-35","Gtf3c2-7"
"39","Agt-87","Gtf3c2-7"
"40","Mllt11-89","Gtf3c2-7"
"41","Aqp4-108","Gtf3c2-7"
"42","Cnr1-283","Gtf3c2-7"
"43","Fgfr1-440","Gtf3c2-7"
"44","Lynx1-655","Gtf3c2-7"
"45","Ncdn-684","Gtf3c2-7"
"46","Rad23b-881","Gtf3c2-7"
"47","Tnni3-1065","Gtf3c2-7"
"48","Cnp-1175","Gtf3c2-7"
"49","Crabp1-1179","Gtf3c2-7"
"50","Icosl-1217","Gtf3c2-7"
"51","Mgp-1229","Gtf3c2-7"
"52","Trhr-1303","Gtf3c2-7"
"53","Cdh3-1337","Gtf3c2-7"
"54","Copb2-1341","Gtf3c2-7"
"55","Aktip-1355","Gtf3c2-7"
"56","Krtap12-1-1367","Gtf3c2-7"
"57","Pknox1-1401","Gtf3c2-7"
"58","Rwdd2b-1587","Gtf3c2-7"
"59","Wnt2b-1589","Gtf3c2-7"
"60","Nr4a1-1792","Gtf3c2-7"
"61","Slc27a4-1920","Gtf3c2-7"
"62","Adcy7-2017","Gtf3c2-7"
"63","Gabrb1-2247","Gtf3c2-7"
"64","Gnai2-2263","Gtf3c2-7"
"65","Hmga1-2295","Gtf3c2-7"
"66","Mapre1-2401","Gtf3c2-7"
"67","Ltn1-2747","Gtf3c2-7"
"68","Ptrf-73521818","Gtf3c2-7"
"69","Snap47-3","Pcdh9-10"
"70","Gtf3c2-7","Pcdh9-10"
"71","Pcdh9-10","Pcdh9-10"
"72","Hepacam-35","Pcdh9-10"
"73","Agt-87","Pcdh9-10"
"74","Mllt11-89","Pcdh9-10"
"75","Aqp4-108","Pcdh9-10"
"76","Cnr1-283","Pcdh9-10"
"77","Fgfr1-440","Pcdh9-10"
"78","Lynx1-655","Pcdh9-10"
"79","Ncdn-684","Pcdh9-10"
"80","Rad23b-881","Pcdh9-10"
"81","Tnni3-1065","Pcdh9-10"
"82","Atp5o-1158","Pcdh9-10"
"83","Cnp-1175","Pcdh9-10"
"84","Crabp1-1179","Pcdh9-10"
"85","Icosl-1217","Pcdh9-10"
"86","Mgp-1229","Pcdh9-10"
"87","Trhr-1303","Pcdh9-10"
"88","Cdh3-1337","Pcdh9-10"
"89","Copb2-1341","Pcdh9-10"
"90","Aktip-1355","Pcdh9-10"
"91","Krtap12-1-1367","Pcdh9-10"
"92","Pknox1-1401","Pcdh9-10"
"93","Rwdd2b-1587","Pcdh9-10"
"94","Wnt2b-1589","Pcdh9-10"
"95","Nr4a1-1792","Pcdh9-10"
"96","Slc27a4-1920","Pcdh9-10"
"97","Adcy7-2017","Pcdh9-10"
"98","Gabrb1-2247","Pcdh9-10"
"99","Gnai2-2263","Pcdh9-10"
"100","Hmga1-2295","Pcdh9-10"
"101","Mapre1-2401","Pcdh9-10"
"102","Ltn1-2747","Pcdh9-10"
"103","Ptrf-73521818","Pcdh9-10"
"104","Ndufv3-12","Ndufv3-12"
"105","Gdi2-491","Ndufv3-12"
"106","Grm1-537","Ndufv3-12"
"107","Lix1-643","Ndufv3-12"
"108","Neurod6-698","Ndufv3-12"
"109","Cpt1a-1478","Ndufv3-12"
"110","Suv39h2-1538","Ndufv3-12"
"111","Ngfrap1-1786","Ndufv3-12"
"112","Ankrd10-2027","Ndufv3-12"
"113","Agap3-2089","Ndufv3-12"
"114","Fbxo2-2210","Ndufv3-12"
"115","Lhx4-2377","Ndufv3-12"
"116","Mtrr-2413","Ndufv3-12"
"117","Tpm3-275873","Ndufv3-12"
"118","Prrg2-276063","Ndufv3-12"
"119","Prpsap2-293663","Ndufv3-12"
"120","Cep78-322963","Ndufv3-12"
"121","Rer1-323586","Ndufv3-12"
"122","Pls3-355886","Ndufv3-12"
"123","Cd47-357100","Ndufv3-12"
"124","Smpd1-67881552","Ndufv3-12"
"125","Cbln2-70231306","Ndufv3-12"
"126","Dyrk1b-71717583","Ndufv3-12"
"127","Cacng8-72108823","Ndufv3-12"
"128","Gng12-73512194","Ndufv3-12"
"129","BC100451-73615805","Ndufv3-12"
"130","Alox8-73718055","Ndufv3-12"
"131","Cd8b1-73732149","Ndufv3-12"
"132","Scn5a-73907501","Ndufv3-12"
"133","Mpp6-73994666","Ndufv3-12"
"134","Kcna1-73994714","Ndufv3-12"
"135","Slc10a3-74047876","Ndufv3-12"
"136","Sqrdl-74047907","Ndufv3-12"
"137","Rplp0-74047927","Ndufv3-12"
"138","Fez2-74272477","Ndufv3-12"
"139","Epn3-74357584","Ndufv3-12"
"140","Fam105a-74819326","Ndufv3-12"
"141","Iscu-74819565","Ndufv3-12"
"142","Zmiz1-74988259","Ndufv3-12"
"143","Fam196a-75042244","Ndufv3-12"
"144","Dok1-75042248","Ndufv3-12"
"145","9330182L06Rik-75081005","Ndufv3-12"
"146","Nog-75084476","Ndufv3-12"
"147","Plcb1-75084969","Ndufv3-12"
"148","Hmox2-75774681","Ndufv3-12"
"149","Nrbp2-75774686","Ndufv3-12"
"150","Rec8-77278975","Ndufv3-12"
"151","Mpzl1-77332711","Ndufv3-12"
"152","Hbb-77340464","Ndufv3-12"
"153","C1qc-77340474","Ndufv3-12"
"154","Postn-77371799","Ndufv3-12"
"155","Enpp2-77413700","Ndufv3-12"
"156","Satb1-79488931","Ndufv3-12"
"157","Galp-79556611","Ndufv3-12"
"158","Cuedc2-79556640","Ndufv3-12"
"159","Sssca1-79556714","Ndufv3-12"
"160","Gabrq-79591569","Ndufv3-12"
"161","Magel2-79591571","Ndufv3-12"
"162","Ankrd24-80343396","Ndufv3-12"
"163","Ptger4-112203056","Ndufv3-12"
"164","Mageh1-17","Mageh1-17"
"165","Rbbp6-170","Mageh1-17"
"166","Mrpl39-673","Mageh1-17"
"167","Eif2d-323588","Mageh1-17"
"168","Pdcl-324213","Mageh1-17"
"169","Yme1l1-356849","Mageh1-17"
"170","Zfp790-356855","Mageh1-17"
"171","Npr1-71670678","Mageh1-17"
"172","Scn4b-73636111","Mageh1-17"
"173","Stoml2-74581379","Mageh1-17"
"174","Manea-74882656","Mageh1-17"
"175","Sacm1l-74882832","Mageh1-17"
"176","Tnfaip8-75038412","Mageh1-17"
"177","Arhgdia-75774677","Mageh1-17"
"178","Eef1b2-75934526","Mageh1-17"
"179","Cdca7-26","Cdca7-26"
"180","Prkag2-29","Prkag2-29"
"181","Dopey2-31","Dopey2-31"
"182","Anln-33","Anln-33"
"183","Snap47-3","Hepacam-35"
"184","Gtf3c2-7","Hepacam-35"
"185","Pcdh9-10","Hepacam-35"
"186","Hepacam-35","Hepacam-35"
"187","Agt-87","Hepacam-35"
"188","Mllt11-89","Hepacam-35"
"189","Aqp4-108","Hepacam-35"
"190","Cnr1-283","Hepacam-35"
"191","Fgfr1-440","Hepacam-35"
"192","Lynx1-655","Hepacam-35"
"193","Ncdn-684","Hepacam-35"
"194","Rad23b-881","Hepacam-35"
"195","Tnni3-1065","Hepacam-35"
"196","Cnp-1175","Hepacam-35"
"197","Crabp1-1179","Hepacam-35"
"198","Icosl-1217","Hepacam-35"
"199","Mgp-1229","Hepacam-35"
"200","Trhr-1303","Hepacam-35"
"201","Cdh3-1337","Hepacam-35"
"202","Copb2-1341","Hepacam-35"
"203","Aktip-1355","Hepacam-35"
"204","Krtap12-1-1367","Hepacam-35"
"205","Pknox1-1401","Hepacam-35"
"206","Rwdd2b-1587","Hepacam-35"
"207","Wnt2b-1589","Hepacam-35"
"208","Nr4a1-1792","Hepacam-35"
"209","Slc27a4-1920","Hepacam-35"
"210","Adcy7-2017","Hepacam-35"
"211","Gabrb1-2247","Hepacam-35"
"212","Gnai2-2263","Hepacam-35"
"213","Hmga1-2295","Hepacam-35"
"214","Mapre1-2401","Hepacam-35"
"215","Ltn1-2747","Hepacam-35"
"216","Ptrf-73521818","Hepacam-35"
"217","Setd5-37","Setd5-37"
"218","Prdx1-836","Setd5-37"
"219","F2r-1711","Setd5-37"
"220","Fxyd5-74819694","Setd5-37"
"221","Casc1-75038484","Setd5-37"
"222","Slc31a2-75773700","Setd5-37"
"223","Hcrtr1-77868713","Setd5-37"
"224","Cnih3-39","Cnih3-39"
"225","Ap2b1-96","Cnih3-39"
"226","Thap1-44","Thap1-44"
"227","9130024F11Rik-51","9130024F11Rik-51"
"228","Mansc1-53","Mansc1-53"
"229","Pmch-55","Pmch-55"
"230","Prune2-57","Prune2-57"
"231","Acta1-60","Acta1-60"
"232","Actc1-62","Actc1-62"
"233","Actr10-64","Actr10-64"
"234","Actr2-67","Actr2-67"
"235","Adamts1-69","Adamts1-69"
"236","9130024F11Rik-71","9130024F11Rik-71"
"237","Arf3-110","9130024F11Rik-71"
"238","Adcy2-73","Adcy2-73"
"239","Wdr31-2719","Adcy2-73"
"240","Adcy3-75","Adcy3-75"
"241","Adcy4-77","Adcy4-77"
"242","Adcy5-79","Adcy5-79"
"243","Ctnnb1-196","Adcy5-79"
"244","Adcy6-81","Adcy6-81"
"245","Adcy9-83","Adcy9-83"
"246","Agpat3-85","Agpat3-85"
"247","Snap47-3","Agt-87"
"248","Gtf3c2-7","Agt-87"
"249","Pcdh9-10","Agt-87"
"250","Hepacam-35","Agt-87"
"251","Agt-87","Agt-87"
"252","Mllt11-89","Agt-87"
"253","Aqp4-108","Agt-87"
"254","Cnr1-283","Agt-87"
"255","Fgfr1-440","Agt-87"
"256","Ncdn-684","Agt-87"
"257","Rad23b-881","Agt-87"
"258","Tnni3-1065","Agt-87"
"259","Cnp-1175","Agt-87"
"260","Crabp1-1179","Agt-87"
"261","Icosl-1217","Agt-87"
"262","Mgp-1229","Agt-87"
"263","Trhr-1303","Agt-87"
"264","Cdh3-1337","Agt-87"
"265","Copb2-1341","Agt-87"
"266","Aktip-1355","Agt-87"
"267","Krtap12-1-1367","Agt-87"
"268","Pknox1-1401","Agt-87"
"269","Rwdd2b-1587","Agt-87"
"270","Wnt2b-1589","Agt-87"
"271","Nr4a1-1792","Agt-87"
"272","Slc27a4-1920","Agt-87"
"273","Adcy7-2017","Agt-87"
"274","Gabrb1-2247","Agt-87"
"275","Gnai2-2263","Agt-87"
"276","Hmga1-2295","Agt-87"
"277","Mapre1-2401","Agt-87"
"278","Ltn1-2747","Agt-87"
"279","Ptrf-73521818","Agt-87"
"280","Snap47-3","Mllt11-89"
"281","Gtf3c2-7","Mllt11-89"
"282","Pcdh9-10","Mllt11-89"
"283","Hepacam-35","Mllt11-89"
"284","Agt-87","Mllt11-89"
"285","Mllt11-89","Mllt11-89"
"286","Aqp4-108","Mllt11-89"
"287","Cnr1-283","Mllt11-89"
"288","Fgfr1-440","Mllt11-89"
"289","Lynx1-655","Mllt11-89"
"290","Ncdn-684","Mllt11-89"
"291","Rad23b-881","Mllt11-89"
"292","Tnni3-1065","Mllt11-89"
"293","Cnp-1175","Mllt11-89"
"294","Crabp1-1179","Mllt11-89"
"295","Icosl-1217","Mllt11-89"
"296","Mgp-1229","Mllt11-89"
"297","Trhr-1303","Mllt11-89"
"298","Cdh3-1337","Mllt11-89"
"299","Copb2-1341","Mllt11-89"
"300","Aktip-1355","Mllt11-89"
"301","Krtap12-1-1367","Mllt11-89"
"302","Pknox1-1401","Mllt11-89"
"303","Rwdd2b-1587","Mllt11-89"
"304","Wnt2b-1589","Mllt11-89"
"305","Nr4a1-1792","Mllt11-89"
"306","Slc27a4-1920","Mllt11-89"
"307","Adcy7-2017","Mllt11-89"
"308","Gabrb1-2247","Mllt11-89"
"309","Gnai2-2263","Mllt11-89"
"310","Hmga1-2295","Mllt11-89"
"311","Mapre1-2401","Mllt11-89"
"312","Ltn1-2747","Mllt11-89"
"313","Ptrf-73521818","Mllt11-89"
"314","Akap8-91","Akap8-91"
"315","Anp32a-94","Anp32a-94"
"316","Cnih3-39","Ap2b1-96"
"317","Ap2b1-96","Ap2b1-96"
"318","Gata2-100","Gata2-100"
"319","App-106","App-106"
"320","Snap47-3","Aqp4-108"
"321","Gtf3c2-7","Aqp4-108"
"322","Pcdh9-10","Aqp4-108"
"323","Hepacam-35","Aqp4-108"
"324","Agt-87","Aqp4-108"
"325","Mllt11-89","Aqp4-108"
"326","Aqp4-108","Aqp4-108"
"327","Cnr1-283","Aqp4-108"
"328","Fgfr1-440","Aqp4-108"
"329","Ncdn-684","Aqp4-108"
"330","Rad23b-881","Aqp4-108"
"331","Tnni3-1065","Aqp4-108"
"332","Cnp-1175","Aqp4-108"
"333","Crabp1-1179","Aqp4-108"
"334","Icosl-1217","Aqp4-108"
"335","Mgp-1229","Aqp4-108"
"336","Trhr-1303","Aqp4-108"
"337","Cdh3-1337","Aqp4-108"
"338","Copb2-1341","Aqp4-108"
"339","Aktip-1355","Aqp4-108"
"340","Krtap12-1-1367","Aqp4-108"
"341","Pknox1-1401","Aqp4-108"
"342","Rwdd2b-1587","Aqp4-108"
"343","Wnt2b-1589","Aqp4-108"
"344","Nr4a1-1792","Aqp4-108"
"345","Slc27a4-1920","Aqp4-108"
"346","Adcy7-2017","Aqp4-108"
"347","Gabrb1-2247","Aqp4-108"
"348","Gnai2-2263","Aqp4-108"
"349","Hmga1-2295","Aqp4-108"
"350","Mapre1-2401","Aqp4-108"
"351","Ltn1-2747","Aqp4-108"
"352","Ptrf-73521818","Aqp4-108"
"353","9130024F11Rik-71","Arf3-110"
"354","Arf3-110","Arf3-110"
"355","Arhgap5-113","Arhgap5-113"
"356","Arx-118","Arx-118"
"357","Chrna2-75551460","Arx-118"
"358","Atp5j-124","Atp5j-124"
"359","Atp6v0a1-126","Atp6v0a1-126"
"360","Calm1-179","Atp6v0a1-126"
"361","Atp6v1b2-129","Atp6v1b2-129"
"362","Avp-131","Avp-131"
"363","Tmem50b-133","Tmem50b-133"
"364","Islr2-142","Islr2-142"
"365","Bace2-143","Bace2-143"
"366","Acot7-145","Acot7-145"
"367","Pofut2-147","Pofut2-147"
"368","Usp48-149","Usp48-149"
"369","Bcan-154","Bcan-154"
"370","Bsg-166","Bsg-166"
"371","Btg3-168","Btg3-168"
"372","Mageh1-17","Rbbp6-170"
"373","Rbbp6-170","Rbbp6-170"
"374","Mrpl39-673","Rbbp6-170"
"375","Eif2d-323588","Rbbp6-170"
"376","Pdcl-324213","Rbbp6-170"
"377","Yme1l1-356849","Rbbp6-170"
"378","Zfp790-356855","Rbbp6-170"
"379","Npr1-71670678","Rbbp6-170"
"380","Scn4b-73636111","Rbbp6-170"
"381","Stoml2-74581379","Rbbp6-170"
"382","Manea-74882656","Rbbp6-170"
"383","Sacm1l-74882832","Rbbp6-170"
"384","Tnfaip8-75038412","Rbbp6-170"
"385","Arhgdia-75774677","Rbbp6-170"
"386","Eef1b2-75934526","Rbbp6-170"
"387","Nrcam-172","Nrcam-172"
"388","Atp6v0a1-126","Calm1-179"
"389","Calm1-179","Calm1-179"
"390","Calm2-182","Calm2-182"
"391","Slc25a3-972","Calm2-182"
"392","Calm3-184","Calm3-184"
"393","Camk2g-189","Camk2g-189"
"394","Cd44-224","Camk2g-189"
"395","Dlx3-350","Camk2g-189"
"396","Nrtn-741","Camk2g-189"
"397","Ogt-758","Camk2g-189"
"398","Ppp1r7-832","Camk2g-189"
"399","Crls1-1148","Camk2g-189"
"400","Pou2f1-1563","Camk2g-189"
"401","Homer1-1748","Camk2g-189"
"402","Tsen34-1944","Camk2g-189"
"403","Apbb1-2033","Camk2g-189"
"404","Cpt1c-2117","Camk2g-189"
"405","Erf-2195","Camk2g-189"
"406","Gabarap-2245","Camk2g-189"
"407","158303","Camk2g-189"
"408","Kcnj15-2339","Camk2g-189"
"409","Kpna4-2359","Camk2g-189"
"410","Mapk13-2397","Camk2g-189"
"411","Pafah1b1-2460","Camk2g-189"
"412","Ptn-2507","Camk2g-189"
"413","Ssr2-121097","Camk2g-189"
"414","Mef2a-199392","Camk2g-189"
"415","Dlst-321200","Camk2g-189"
"416","Ap2s1-71836889","Camk2g-189"
"417","Elmod1-71924269","Camk2g-189"
"418","Ly6h-71924388","Camk2g-189"
"419","Nxn-72007747","Camk2g-189"
"420","Diras1-72103819","Camk2g-189"
"421","Cdh9-72472764","Camk2g-189"
"422","Galnt13-72472803","Camk2g-189"
"423","Fryl-73512207","Camk2g-189"
"424","Sprn-73512367","Camk2g-189"
"425","Fam46a-73520967","Camk2g-189"
"426","Cadm2-73635999","Camk2g-189"
"427","Inhbb-73636087","Camk2g-189"
"428","Thbs2-73929578","Camk2g-189"
"429","C230081A13Rik-73931624","Camk2g-189"
"430","Spint2-74047774","Camk2g-189"
"431","Meis3-74047845","Camk2g-189"
"432","2610109H07Rik-74272038","Camk2g-189"
"433","Rgnef-74272892","Camk2g-189"
"434","Pitrm1-74273117","Camk2g-189"
"435","Slc43a2-74425544","Camk2g-189"
"436","3110082D06Rik-74581400","Camk2g-189"
"437","Nkd1-74586666","Camk2g-189"
"438","Mmp14-74658084","Camk2g-189"
"439","Ndufa10-74658173","Camk2g-189"
"440","Ipo4-74658174","Camk2g-189"
"441","Col9a2-74750022","Camk2g-189"
"442","Mylk-74819252","Camk2g-189"
"443","Gpx2-74819652","Camk2g-189"
"444","Slx1b-74819688","Camk2g-189"
"445","Sart3-74819691","Camk2g-189"
"446","C030046I01Rik-74881890","Camk2g-189"
"447","Tmx4-74882217","Camk2g-189"
"448","Pgrmc2-74882697","Camk2g-189"
"449","Tmie-74957868","Camk2g-189"
"450","0610010F05Rik-74957923","Camk2g-189"
"451","Thnsl1-74988343","Camk2g-189"
"452","Scube3-74988656","Camk2g-189"
"453","Cep72-74988742","Camk2g-189"
"454","Fndc3b-74988759","Camk2g-189"
"455","Camk4-75038464","Camk2g-189"
"456","A130014H13Rik-75041574","Camk2g-189"
"457","Gnrh1-75080152","Camk2g-189"
"458","Chrna2-75551460","Camk2g-189"
"459","Opn1sw-75773699","Camk2g-189"
"460","Zfp932-75774665","Camk2g-189"
"461","Ubl4-75774670","Camk2g-189"
"462","Clip4-75774680","Camk2g-189"
"463","Cldn11-77280580","Camk2g-189"
"464","Hapln1-77332706","Camk2g-189"
"465","Kpnb1-77340472","Camk2g-189"
"466","Plxnd1-77340482","Camk2g-189"
"467","Atp5h-77371785","Camk2g-189"
"468","Kcns3-77371817","Camk2g-189"
"469","Tmeff1-77395095","Camk2g-189"
"470","Gbx2-77868786","Camk2g-189"
"471","Sostdc1-77874602","Camk2g-189"
"472","Ano6-77887878","Camk2g-189"
"473","Mef2c-79567505","Camk2g-189"
"474","Cks2-80517357","Camk2g-189"
"475","Car8-191","Car8-191"
"476","Adcy5-79","Ctnnb1-196"
"477","Ctnnb1-196","Ctnnb1-196"
"478","Cbx5-198","Cbx5-198"
"479","Cck-200","Cck-200"
"480","Cckar-203","Cckar-203"
"481","Ccnd2-205","Ccnd2-205"
"482","Ccnl2-211","Ccnl2-211"
"483","Cd1d1-219","Cd1d1-219"
"484","Camk2g-189","Cd44-224"
"485","Cd44-224","Cd44-224"
"486","Dlx3-350","Cd44-224"
"487","Nrtn-741","Cd44-224"
"488","Ogt-758","Cd44-224"
"489","Ppp1r7-832","Cd44-224"
"490","Crls1-1148","Cd44-224"
"491","Pou2f1-1563","Cd44-224"
"492","Homer1-1748","Cd44-224"
"493","Tsen34-1944","Cd44-224"
"494","Apbb1-2033","Cd44-224"
"495","Cpt1c-2117","Cd44-224"
"496","Erf-2195","Cd44-224"
"497","Gabarap-2245","Cd44-224"
"498","158303","Cd44-224"
"499","Kcnj15-2339","Cd44-224"
"500","Kpna4-2359","Cd44-224"
"501","Mapk13-2397","Cd44-224"
"502","Pafah1b1-2460","Cd44-224"
"503","Ptn-2507","Cd44-224"
"504","Ssr2-121097","Cd44-224"
"505","Mef2a-199392","Cd44-224"
"506","Dlst-321200","Cd44-224"
"507","Ap2s1-71836889","Cd44-224"
"508","Elmod1-71924269","Cd44-224"
"509","Ly6h-71924388","Cd44-224"
"510","Nxn-72007747","Cd44-224"
"511","Diras1-72103819","Cd44-224"
"512","Cdh9-72472764","Cd44-224"
"513","Galnt13-72472803","Cd44-224"
"514","Fryl-73512207","Cd44-224"
"515","Sprn-73512367","Cd44-224"
"516","Fam46a-73520967","Cd44-224"
"517","Cadm2-73635999","Cd44-224"
"518","Inhbb-73636087","Cd44-224"
"519","Thbs2-73929578","Cd44-224"
"520","C230081A13Rik-73931624","Cd44-224"
"521","Spint2-74047774","Cd44-224"
"522","Meis3-74047845","Cd44-224"
"523","2610109H07Rik-74272038","Cd44-224"
"524","Rgnef-74272892","Cd44-224"
"525","Pitrm1-74273117","Cd44-224"
"526","Slc43a2-74425544","Cd44-224"
"527","3110082D06Rik-74581400","Cd44-224"
"528","Nkd1-74586666","Cd44-224"
"529","Mmp14-74658084","Cd44-224"
"530","Ndufa10-74658173","Cd44-224"
"531","Ipo4-74658174","Cd44-224"
"532","Col9a2-74750022","Cd44-224"
"533","Mylk-74819252","Cd44-224"
"534","Gpx2-74819652","Cd44-224"
"535","Slx1b-74819688","Cd44-224"
"536","Sart3-74819691","Cd44-224"
"537","C030046I01Rik-74881890","Cd44-224"
"538","Tmx4-74882217","Cd44-224"
"539","Pgrmc2-74882697","Cd44-224"
"540","Tmie-74957868","Cd44-224"
"541","0610010F05Rik-74957923","Cd44-224"
"542","Thnsl1-74988343","Cd44-224"
"543","Scube3-74988656","Cd44-224"
"544","Cep72-74988742","Cd44-224"
"545","Fndc3b-74988759","Cd44-224"
"546","Camk4-75038464","Cd44-224"
"547","A130014H13Rik-75041574","Cd44-224"
"548","Gnrh1-75080152","Cd44-224"
"549","Chrna2-75551460","Cd44-224"
"550","Opn1sw-75773699","Cd44-224"
"551","Zfp932-75774665","Cd44-224"
"552","Ubl4-75774670","Cd44-224"
"553","Clip4-75774680","Cd44-224"
"554","Cldn11-77280580","Cd44-224"
"555","Hapln1-77332706","Cd44-224"
"556","Kpnb1-77340472","Cd44-224"
"557","Plxnd1-77340482","Cd44-224"
"558","Hbb-b2-77371773","Cd44-224"
"559","Atp5h-77371785","Cd44-224"
"560","Kcns3-77371817","Cd44-224"
"561","Tmeff1-77395095","Cd44-224"
"562","Gbx2-77868786","Cd44-224"
"563","Sostdc1-77874602","Cd44-224"
"564","Ano6-77887878","Cd44-224"
"565","Mef2c-79567505","Cd44-224"
"566","Cks2-80517357","Cd44-224"
"567","Cd81-226","Cd81-226"
"568","Cdh11-232","Cdh11-232"
"569","Cdh13-234","Cdh13-234"
"570","Cdh2-236","Cdh2-236"
"571","Cdh6-238","Cdh6-238"
"572","Cdk5-244","Cdk5-244"
"573","Cdk5r1-247","Cdk5r1-247"
"574","Cds2-250","Cds2-250"
"575","Chat-252","Chat-252"
"576","Mdk-1227","Chat-252"
"577","Gpr108-1619","Chat-252"
"578","Six1-1834","Chat-252"
"579","Syt4-2651","Chat-252"
"580","Serpinb8-293668","Chat-252"
"581","Ap1b1-356859","Chat-252"
"582","Tspyl4-67936212","Chat-252"
"583","Slc20a2-70231308","Chat-252"
"584","2010300C02Rik-70743898","Chat-252"
"585","Il16-71064290","Chat-252"
"586","Rfx4-71249068","Chat-252"
"587","Ttc9b-71249081","Chat-252"
"588","Insrr-71670480","Chat-252"
"589","Shb-71670695","Chat-252"
"590","2010111I01Rik-71717630","Chat-252"
"591","Pck2-71836804","Chat-252"
"592","Gpr123-71924056","Chat-252"
"593","Gabra4-71924402","Chat-252"
"594","LOC545810-71924492","Chat-252"
"595","Aldh1a1-72103809","Chat-252"
"596","Adora2a-72109410","Chat-252"
"597","Kcnj9-72119580","Chat-252"
"598","Bmp3-72472749","Chat-252"
"599","Fam124a-72472790","Chat-252"
"600","Dpysl5-73635770","Chat-252"
"601","Rgs2-73635771","Chat-252"
"602","Fhdc1-73925717","Chat-252"
"603","Svip-73931622","Chat-252"
"604","Tex261-74047919","Chat-252"
"605","N4bp2-74363354","Chat-252"
"606","Fat4-74363356","Chat-252"
"607","Sh3d19-74425516","Chat-252"
"608","Decr1-74425550","Chat-252"
"609","Rasa4-74425552","Chat-252"
"610","Gpnmb-74581367","Chat-252"
"611","Ccdc37-74581372","Chat-252"
"612","Znrf1-74581382","Chat-252"
"613","Epha1-74640882","Chat-252"
"614","Vti1a-74641238","Chat-252"
"615","Gpr151-74724649","Chat-252"
"616","Ptprk-74743303","Chat-252"
"617","Slc35f2-74819683","Chat-252"
"618","Apc-74881517","Chat-252"
"619","Sik3-74881867","Chat-252"
"620","Rassf4-74988636","Chat-252"
"621","Nrm-75042265","Chat-252"
"622","Tmem29-75080656","Chat-252"
"623","Alg14-75081004","Chat-252"
"624","Ccdc85a-75081006","Chat-252"
"625","Adam33-75147767","Chat-252"
"626","Coro1c-75651191","Chat-252"
"627","Grik3-75749418","Chat-252"
"628","LOC434300-75988611","Chat-252"
"629","Mtap1a-76115734","Chat-252"
"630","Matk-76135823","Chat-252"
"631","9830001H06Rik-77340458","Chat-252"
"632","Gpr146-77371845","Chat-252"
"633","Gng7-77371857","Chat-252"
"634","Smpd1-77413684","Chat-252"
"635","Tbl3-77413694","Chat-252"
"636","Serinc1-77413696","Chat-252"
"637","1200011I18Rik-77414569","Chat-252"
"638","Pias4-77414895","Chat-252"
"639","Ntm-77866868","Chat-252"
"640","Nnat-77887874","Chat-252"
"641","Tmc6-77887880","Chat-252"
"642","Efnb3-79556601","Chat-252"
"643","Sox10-79556652","Chat-252"
"644","Mtap-79568030","Chat-252"
"645","Slc6a4-79591679","Chat-252"
"646","Cyr61-80343407","Chat-252"
"647","Chd2-255","Chd2-255"
"648","Chrd-257","Chrd-257"
"649","Chrm4-261","Chrm4-261"
"650","Ndel1-1514","Chrm4-261"
"651","Tcerg1-1872","Chrm4-261"
"652","Usp21-2711","Chrm4-261"
"653","Mad1l1-70928294","Chrm4-261"
"654","Asns-74047788","Chrm4-261"
"655","Chn2-74881162","Chrm4-261"
"656","Hpse-77340468","Chrm4-261"
"657","Chst2-266","Chst2-266"
"658","Clock-273","Clock-273"
"659","Clu-275","Clu-275"
"660","Cnih-278","Cnih-278"
"661","Snap47-3","Cnr1-283"
"662","Gtf3c2-7","Cnr1-283"
"663","Pcdh9-10","Cnr1-283"
"664","Hepacam-35","Cnr1-283"
"665","Agt-87","Cnr1-283"
"666","Mllt11-89","Cnr1-283"
"667","Aqp4-108","Cnr1-283"
"668","Cnr1-283","Cnr1-283"
"669","Fgfr1-440","Cnr1-283"
"670","Lynx1-655","Cnr1-283"
